,beta,lnalpha,lnalpha.c,S.max,S.eq.c,U.msy_Hilborn,S.msy_Hilborn,Smsy_lambert,Umsy_lambert,,
5217000,6.82E-06,1.205783809,1.421624048,146666.4378,208504.5351,0.569340979,83503.21326,83936.79747,0.572297239,,
5218000,4.44E-06,0.790360618,1.001087206,225384.7477,225629.7872,0.430391311,97003.63708,97647.95953,0.433250078,,
5219000,4.82E-06,0.837258903,1.045738853,207629.3464,217126.0745,0.446319544,92669.03521,93278.55748,0.449255171,,
5220000,5.00E-06,0.718740968,0.959604545,200115.6389,192031.8767,0.415343411,83116.71202,83671.873,0.418117612,,
5221000,5.01E-06,0.950286093,1.089119849,199507.526,217287.6065,0.461527181,92078.14608,92675.80026,0.464522828,,
5222000,6.82E-06,0.990468069,1.329611711,146594.7074,194914.0398,0.541055144,79315.8206,79763.55374,0.544109369,,
5223000,5.32E-06,1.050132739,1.190366158,187835.0794,223592.5218,0.495995068,93165.27294,93743.30757,0.49907242,,
5224000,6.58E-06,1.342961515,1.543791936,151975.2283,234618.1318,0.60506542,91954.95531,92370.91066,0.607802414,,
5225000,4.76E-06,0.846233206,1.05793736,210169.8327,222346.5179,0.450622478,94707.25078,95328.08946,0.453576464,,
5226000,2.53E-06,0.907736188,1.091057368,394817.1421,430768.1518,0.462200251,182484.5823,183668.2376,0.465198235,,
5227000,4.47E-06,0.964353705,1.187512896,223910.1456,265896.1853,0.495043366,110845.2322,111534.0217,0.498119554,,
5228000,9.04E-06,1.471619281,1.877372954,110672.118,207772.8411,0.691969432,76581.72268,76785.7724,0.693813164,,
5229000,7.83E-06,1.18701437,1.384661704,127645.5507,176745.9058,0.55812069,71241.6228,71624.95624,0.561123798,,
5230000,5.92E-06,1.012174066,1.18577423,168954.3335,200341.6947,0.494462878,83541.64603,84061.25577,0.497538323,,
5231000,7.89E-06,1.710240148,2.014102688,126776.5347,255340.9593,0.723088669,91670.67577,91861.51039,0.724593953,,
5232000,6.85E-06,1.391336975,1.629089377,145997.642,237843.2076,0.628769435,91798.85479,92168.99581,0.631304688,,
5233000,6.77E-06,1.310914651,1.479745884,147720.1021,218588.2131,0.58659759,86652.25593,87075.26213,0.589461156,,
